,slide,initialAOI,fixationTime,correctedAOI,Transition
557,10.bmp,9,0.21353,3,Invalid
558,10.bmp,6,0.24869,9,Invalid
559,10.bmp,8,0.21378,5,Invalid
560,10.bmp,7,0.21335,6,Surface
561,10.bmp,8,0.35233,5,Surface
562,10.bmp,6,0.21326,9,Invalid
563,10.bmp,5,0.55853,1,Surface
564,10.bmp,8,0.44247,5,Invalid
565,10.bmp,9,0.44363,3,Surface
566,10.bmp,7,0.52573,6,Surface
567,11.bmp,8,1.16666,3,Invalid
568,11.bmp,9,0.7392,9,Invalid
569,11.bmp,5,0.34018,4,Invalid
570,11.bmp,2,0.26239,5,Invalid
571,11.bmp,1,0.32864,1,Invalid
572,11.bmp,3,0.26294,7,Surface
573,11.bmp,6,0.06601,6,Invalid
574,11.bmp,9,0.34506,9,Surface
575,11.bmp,8,0.26569,3,Invalid
576,11.bmp,7,0.59283,8,Surface
577,11.bmp,5,0.36169,4,Surface
578,11.bmp,1,0.42746,1,Invalid
579,11.bmp,2,0.21371,5,Invalid
580,11.bmp,4,0.21356,2,Invalid
581,11.bmp,1,0.93244,1,Surface
582,11.bmp,3,0.24655,7,Surface
583,11.bmp,2,0.11954,5,Invalid
584,11.bmp,6,0.23013,6,Surface
585,11.bmp,9,0.1972,9,Surface
586,11.bmp,8,1.05509,3,Invalid
587,11.bmp,7,0.1965,8,Surface
588,11.bmp,9,0.90613,9,Invalid
589,11.bmp,6,0.22974,6,Surface
590,11.bmp,3,0.29617,7,Invalid
591,11.bmp,1,0.31183,1,Surface
592,11.bmp,2,0.42618,5,Invalid
593,11.bmp,5,0.65701,4,Invalid
594,11.bmp,8,0.67374,3,Surface
595,11.bmp,7,1.6755,8,Surface
596,11.bmp,1,0.19754,1,Invalid
597,11.bmp,7,1.38028,8,Invalid
598,11.bmp,2,0.73968,5,Invalid
599,11.bmp,3,0.24689,7,Invalid
600,11.bmp,9,0.39194,9,Invalid
601,11.bmp,3,0.21368,7,Invalid
