,slide,initialAOI,fixationTime,correctedAOI,Transition,Transition
387,11.bmp,5,1.80699,1,Invalid,Invalid
388,11.bmp,1,0.24669,2,Surface,Surface
389,11.bmp,5,0.34503,1,Surface,Surface
390,11.bmp,8,0.32832,7,Surface,Surface
391,11.bmp,5,0.21175,1,Surface,Surface
392,11.bmp,1,0.19614,2,Surface,Surface
393,11.bmp,2,0.29588,9,Invalid,Invalid
394,11.bmp,1,0.26326,2,Invalid,Invalid
395,11.bmp,5,0.4436,1,Surface,Surface
396,11.bmp,9,0.47667,4,Invalid,Invalid
397,11.bmp,6,0.34586,6,Invalid,Invalid
398,11.bmp,5,0.27956,1,Invalid,Invalid
399,11.bmp,7,0.06622,5,Invalid,Invalid
400,11.bmp,8,0.59099,7,Invalid,Invalid
401,11.bmp,5,1.13296,1,Surface,Surface
402,11.bmp,1,0.36122,2,Surface,Surface
403,11.bmp,8,0.49255,7,Surface,Surface
404,11.bmp,5,1.18283,1,Surface,Surface
405,11.bmp,1,0.32825,2,Surface,Surface
406,11.bmp,2,0.64148,9,Invalid,Invalid
407,11.bmp,1,0.39438,2,Invalid,Invalid
408,11.bmp,8,0.65622,7,Surface,Surface
409,11.bmp,9,0.22998,4,Invalid,Invalid
410,11.bmp,8,0.23041,7,Invalid,Invalid
411,11.bmp,9,0.39395,4,Invalid,Invalid
412,11.bmp,5,0.23169,1,Invalid,Invalid
413,11.bmp,1,0.54257,2,Surface,Surface
414,11.bmp,2,0.27945,9,Invalid,Invalid
415,11.bmp,4,0.29547,8,Invalid,Invalid
416,11.bmp,5,0.26434,1,Invalid,Invalid
417,11.bmp,6,0.70627,6,Invalid,Invalid
418,11.bmp,9,0.19708,4,Invalid,Invalid
419,11.bmp,0,1.21598,0,Invalid,Invalid
420,11.bmp,6,0.36194,6,Invalid,Invalid
421,11.bmp,0,0.41339,0,Invalid,Invalid
422,11.bmp,5,0.44098,1,Invalid,Invalid
423,11.bmp,4,0.22986,8,Invalid,Invalid
424,11.bmp,9,1.29218,4,Surface,Surface
